DatasetName,Target,Pipeline,EvaluationMetric,Time,Size,Website
df1_loan,Loan_Status,"LC,IQR,nor_null,fea_null,dup_null,out_null,NB",0.88,0.014980078,"(500, 15)",https
Kinematics_Data,activity,"OE,ZS,dup_null,fea_null,dup_null,out_null,RF",0.992493509,7.530292034,"(88588, 11)",https
transfusion,whether he/she donated blood in March 2007,"IQR,dup_null,imp_null,fea_null,dup_null,out_null,NB",0.848920863,0.008985043,"(748, 5)",https
ML Marathon Dataset,deposit,"ED,OE,ZS,fea_null,dup_null,out_null,RF",0.845373134,0.620958805,"(8371, 17)",https
Employee Satisfaction Index,satisfied,"AD,IQR,OE,fea_null,dup_null,out_null,NB",0.53,0.062999725,"(500, 14)",https
diabetes,Outcome,"imp_null,IQR,nor_null,fea_null,dup_null,out_null,RF",0.791044776,0.109079838,"(768, 9)",https
Social_Network_Ads,Purchased,"OE,fea_null,DS,fea_null,dup_null,out_null,RF",0.95,1.159176826,"(400, 5)",https
glass,Type of glass,"imp_null,fea_null,ZS,fea_null,dup_null,out_null,RF",0.976744186,0.134011269,"(214, 11)",https
Breast Cancer Coimbra Data Set,Classification,"IQR,ZS,nor_null,fea_null,dup_null,out_null,NB",0.894736842,0.029768467,"(116, 10)",https
dementia_dataset,Group,"MF,OE,enc_null,enc_null,dup_null,out_null,RF",0.946666667,0.101015091,"(373, 15)",https
heart_Disease,target,"AD,IQR,imp_null,fea_null,dup_null,out_null,NB",0.86440678,0.043980837,"(303, 14)",https
tumor,Class,"ZS,nor_null,imp_null,fea_null,dup_null,out_null,RF",0.99270073,0.098855019,"(683, 11)",https
classast - pha,class,"IQR,nor_null,fea_null,fea_null,dup_null,out_null,RF",0.993902439,0.180000067,"(1748, 12)",https
airline_passenger_satisfaction1,satisfaction,"IQR,ED,fea_null,fea_null,dup_null,out_null,RF",0.99010619,6.279091835,"(129880, 23)",https
airline_passenger_satisfaction2,satisfaction,"AD,OE,ZS,fea_null,dup_null,out_null,RF",0.961712088,8.870998383,"(60001, 23)",https
WA_Fn-UseC_-HR-Employee-Attrition,Attrition,"IQR,OE,ZS,fea_null,dup_null,out_null,RF",0.87826087,0.678993464,"(1470, 35)",https
WA_Fn-UseC_-HR-Employee-Education,Education,"ED,OE,MM,fea_null,dup_null,out_null,RF",0.408163265,0.245427608,"(1470, 35)",https
WA_Fn-UseC_-HR-Employee-EnvironmentSatisfaction,EnvironmentSatisfaction,"fea_null,ZS,nor_null,fea_null,dup_null,out_null,NB",0.30952381,0.028998613,"(1470, 35)",https
WA_Fn-UseC_-HR-Employee-JobSatisfaction,JobSatisfaction,"IQR,ZS,nor_null,fea_null,dup_null,out_null,NB",0.339055794,0.035039425,"(1470, 35)",https
